;Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
0;Habitación;San Borja;1;0;0;40;1700.0;500.0;60.0
1;Casa;Lurigancho;2;0;1;100;7000.0;;
2;Casa en condominio;Ate;5;4;5;750;22000.0;;
3;Casa en condominio;El Agustino;2;2;0;65;1000.0;;
4;Habitación;San Borja;1;0;0;27;1800.0;501.0;
5;Casa en condominio;San Luis;3;1;1;115;2000.0;;
6;Casa en condominio;Ate;4;3;2;466;7500.0;2695.0;
7;Casa;Lince;4;1;2;400;12000.0;;
8;Habitación;San Borja;1;0;0;27;1300.0;380.0;53.0
9;Casa en condominio;Ate;5;10;5;1600;25000.0;1600.0;
10;Casa;Santa Anita;2;0;0;51;1500.0;50.0;
11;Casa;Punta Hermosa;4;2;4;730;28000.0;2000.0;12000.0
12;Casa comercial;Chorrillos;0;0;0;140;7000.0;;137.0
13;Casa en condominio;Callao;5;3;1;140;2500.0;1200.0;
14;Habitación;Pachacámac;0;0;0;30;800.0;505.0;
15;Habitación;Villa El Salvador;0;0;0;28;1000.0;581.0;53.0
16;Casa de villa;Ate;2;1;0;70;1300.0;;
17;Habitación;San Borja;1;0;0;29;1200.0;460.0;
18;Casa;San Luis;8;3;5;259;7000.0;;
19;Casa;Breña;1;0;0;33;1200.0;;
20;Habitación;La Punta;1;0;0;16;1400.0;300.0;210.0
21;Habitación;Lurín;0;0;0;20;700.0;500.0;28.0
22;Casa comercial;Chorrillos;0;0;0;220;16000.0;;
23;Casa;Lurín;3;2;1;135;3000.0;;
24;Habitación;Pachacámac;0;0;0;28;700.0;400.0;16.0
25;Casa;San Borja;2;0;0;40;950.0;;50.0
26;Casa en condominio;Ate;4;2;4;595;30000.0;2500.0;2510.0
27;Casa en condominio;Jesús María;4;4;4;267;6500.0;700.0;3308.0
28;Habitación;San Borja;1;0;0;23;1000.0;562.0;
29;Casa;San Miguel;4;1;1;191;4000.0;300.0;
30;Casa en condominio;Punta Hermosa;3;2;1;250;5500.0;750.0;500.0
31;Habitación;Pachacámac;1;0;0;33;990.0;463.0;25.0
32;Casa comercial;La Punta;0;0;0;139;16740.0;1953.0;139.0
33;Habitación;San Borja;1;0;0;26;1400.0;370.0;21.0
34;Casa en condominio;Ate;4;4;4;1000;30000.0;2695.0;23715.0
35;Casa de villa;Pachacámac;2;1;2;115;1600.0;1.0;60.0
36;Casa de villa;Santiago de Surco;1;0;1;40;800.0;;
37;Casa en condominio;Callao;2;1;0;163;1800.0;92.0;46.0
38;Habitación;San Borja;1;0;0;30;1300.0;370.0;30.0
39;Casa;Mi Perú;5;4;2;450;7000.0;;500.0
40;Casa en condominio;Villa El Salvador;2;2;1;90;1700.0;618.0;338.0
41;Habitación;Rímac;1;0;0;30;1700.0;560.0;62.0
42;Casa;San Juan de Miraflores;2;1;0;59;1200.0;170.0;
43;Casa;Lince;3;0;0;200;2100.0;;
44;Casa en condominio;Ate;5;6;5;640;13800.0;980.0;1800.0
45;Casa;Chaclacayo;2;0;0;51;1000.0;;
46;Casa en condominio;Ate;5;3;5;1000;20000.0;1800.0;1800.0
47;Casa en condominio;Villa El Salvador;5;4;5;300;5000.0;1500.0;250.0
48;Casa;Santa Rosa;2;0;0;70;1100.0;;
49;Casa en condominio;Ate;4;3;2;188;6000.0;1022.0;
50;Habitación;San Borja;1;0;0;15;1100.0;600.0;
51;Casa de villa;Comas;2;1;0;48;750.0;;
52;Casa en condominio;Ate;3;0;2;367;6000.0;510.0;423.0
53;Casa;Lurigancho;2;4;1;107;9500.0;;1091.0
54;Habitación;Rímac;1;0;0;25;1950.0;360.0;58.0
55;Casa;Jesús María;4;4;2;367;12000.0;;653.0
56;Casa comercial;Chorrillos;3;0;0;280;13000.0;450.0;1387.0
57;Habitación;San Borja;1;0;0;35;1700.0;400.0;55.0
58;Casa de villa;Lince;3;1;0;100;2000.0;100.0;
59;Casa;Chorrillos;12;5;0;500;18000.0;;1800.0
60;Casa en condominio;Ate;4;2;4;280;8500.0;750.0;620.0
61;Casa;Lurín;10;0;10;300;15000.0;;220.0
62;Habitación;La Punta;1;0;1;26;850.0;321.0;29.0
63;Habitación;Carmen de La Legua;1;0;0;20;485.0;;
64;Casa;Punta Hermosa;4;0;4;1200;25000.0;;
65;Casa;Lince;2;1;2;100;1500.0;;30.0
66;Casa;Villa El Salvador;2;1;0;70;1900.0;580.0;25.0
67;Casa en condominio;San Juan de Miraflores;2;0;1;100;1500.0;160.0;80.0
68;Casa;Pucusana;5;3;0;260;7000.0;;163.0
69;Casa en condominio;Jesús María;4;3;4;198;4500.0;1160.0;3012.0
70;Casa;Mi Perú;1;0;0;40;850.0;;
71;Habitación;San Borja;1;0;0;30;2600.0;500.0;
72;Habitación;San Borja;1;0;0;30;3200.0;400.0;50.0
73;Habitación;Pachacámac;1;0;1;15;750.0;;
74;Casa;Bellavista;1;0;0;35;400.0;;
75;Casa en condominio;Pueblo Libre;2;1;0;70;800.0;200.0;
76;Casa en condominio;Lurigancho;4;4;1;380;12000.0;870.0;1290.0
77;Casa en condominio;Ate;4;4;3;280;11000.0;1200.0;1100.0
78;Casa comercial;Santa Rosa;0;1;0;100;2000.0;;
79;Habitación;San Borja;1;0;0;25;1200.0;318.0;
80;Casa;Jesús María;3;2;1;321;9000.0;1400.0;
81;Casa;San Luis;3;1;0;100;2100.0;250.0;
82;Casa;Lince;2;1;0;100;1300.0;;
83;Casa comercial;San Borja;12;0;12;360;17000.0;;1150.0
84;Habitación;San Borja;1;0;0;38;1800.0;500.0;100.0
85;Casa en condominio;Lince;2;2;0;100;1200.0;40.0;1.0
86;Casa;Ate;6;4;6;540;25000.0;2333.0;2900.0
87;Habitación;San Borja;1;0;0;30;1150.0;450.0;30.0
88;Casa;Lince;2;0;0;70;1000.0;;
89;Casa;Ate;4;6;2;232;6500.0;1100.0;800.0
90;Casa en condominio;Ate;5;6;5;1050;15000.0;2000.0;2000.0
91;Casa comercial;Lurigancho;0;0;0;80;6000.0;;1000.0
92;Casa;El Agustino;2;0;0;40;950.0;;
93;Casa comercial;El Agustino;0;0;0;120;2400.0;;
94;Casa;Lurigancho;4;2;4;387;25000.0;270.0;6661.0
95;Casa;Mi Perú;3;6;1;280;2800.0;;190.0
96;Casa en condominio;Pucusana;6;4;6;550;25000.0;;672.0
97;Casa;Lince;5;2;5;120;10000.0;;
98;Casa comercial;Pachacámac;0;2;0;258;14000.0;4900.0;1000.0
99;Casa;Villa El Salvador;7;10;2;500;12000.0;;20.0
100;Casa en condominio;Ate;5;5;5;600;20000.0;2300.0;
101;Casa;Ate;4;6;2;800;9800.0;;490.0
102;Habitación;San Borja;1;0;0;28;1500.0;450.0;
103;Casa;Jesús María;3;0;0;614;4500.0;;576.0
104;Casa;San Miguel;4;6;0;160;3500.0;;
105;Casa comercial;Chaclacayo;0;2;0;180;4500.0;;
106;Habitación;San Borja;1;0;0;15;800.0;305.0;24.0
107;Casa en condominio;Jesús María;4;4;4;540;10500.0;850.0;1000.0
108;Casa;Ate;2;0;0;95;1100.0;;
109;Casa en condominio;Ate;4;2;4;470;8500.0;510.0;600.0
110;Casa en condominio;Jesús María;4;2;3;227;4000.0;833.0;459.0
111;Casa;Ate;5;4;5;890;17000.0;2500.0;2500.0
112;Habitación;La Punta;1;0;0;20;850.0;495.0;
113;Casa de villa;Independencia;2;1;0;150;1200.0;;
114;Casa;Callao;4;4;1;300;4500.0;;
115;Casa en condominio;Ate;4;3;2;450;6900.0;1150.0;750.0
116;Casa;Ate;6;1;0;425;13000.0;;580.0
117;Casa en condominio;Lince;2;1;1;75;1100.0;400.0;
118;Casa;Lince;3;1;0;120;2800.0;;
119;Casa comercial;Magdalena del Mar;0;0;0;1200;10000.0;;
