limite,cuenta_corriente,escolaridad,estado_civil,edad,valor_factura,valor_pago,moroso,iu,rango_edad
6022,Si,2.Universidad,Casado/a,24,934.0122,0.0,1,0.1551,20-30
36132,Si,2.Universidad,Soltero/a,26,519.3975,0.0,1,0.014375,20-30
27099,Si,2.Universidad,Soltero/a,34,4223.5297,457.0698,0,0.15585555555555555,30-40
15055,Si,2.Universidad,Casado/a,37,14522.9563,602.2,0,0.96466,30-40
150550,No,3.Pos-graduación,Soltero/a,29,124060.1253,16560.5,0,0.824046,20-30
30110,Si,2.Universidad,Soltero/a,23,114.418,114.418,0,0.0038000000000000004,20-30
42154,Si,1.Colegio,Casado/a,28,4244.3056,1002.3619,0,0.10068571428571428,20-30
60220,Si,1.Colegio,Soltero/a,34,2946.8657,694.3366,0,0.048935,30-40
78286,Si,3.Pos-graduación,Soltero/a,51,6524.837,6524.837,0,0.08334615384615385,50+
189693,Si,2.Universidad,Soltero/a,41,1957.15,301.1,0,0.010317460317460317,40-50
21077,No,2.Universidad,Soltero/a,30,20284.8059,963.52,0,0.9624142857142857,20-30
75275,No,3.Pos-graduación,Soltero/a,29,20191.766,903.3,0,0.26824,20-30
6022,No,3.Pos-graduación,Soltero/a,24,5422.811,963.52,0,0.9005,20-30
96352,No,3.Pos-graduación,Casado/a,49,74231.9896,3118.7938,0,0.770425,40-50
39143,Si,1.Colegio,Soltero/a,39,8336.8568,903.3,0,0.21298461538461538,30-40
36132,Si,2.Universidad,Casado/a,39,95.1476,95.1476,0,0.0026333333333333334,30-40
21077,Si,2.Universidad,Soltero/a,26,12780.1895,604.3077,0,0.6063571428571429,20-30
135495,Si,3.Pos-graduación,Casado/a,40,5847.362,5847.362,0,0.04315555555555556,30-40
15055,No,1.Colegio,Soltero/a,23,12588.991,594.0703,0,0.8362,20-30
15055,Si,1.Colegio,Soltero/a,30,4859.1518,391.43,0,0.32276,20-30
15055,Si,1.Colegio,Casado/a,47,1028.2565,1028.2565,0,0.0683,40-50
